Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
2000,2600,400,Purchased Property and Services,"571,695","575,380","543,360","1,231,049","1,252,176"
2000,2600,500,Other Purchased Services,"273,990","263,780","270,760","285,056","233,500"
2000,2600,600,Supplies,"1,209,089","1,146,432","1,048,951","463,848","614,118"
2000,2600,700,Property,"507,272","94,195","87,500","12,286","60,000"
2000,2600,800,Other Objects,"7,642","1,500","1,500","1,500","1,800"
Totals,,,,"6,541,561","6,035,312","5,551,312","5,663,951","5,733,145"
2000,2700,,Student Transportation Services,,,,,
2000,2700,100,Personnel Services - Salaries,"1,722,691","1,765,039","1,753,795","1,403,577","1,358,084"
2000,2700,200,Personnel Services - Employee Benefits,"1,535,079","1,378,266","1,357,990","1,139,796","969,534"
2000,2700,300,Purchased Professional and Technical Services,"12,710","16,235","8,140","8,840","6,200"
2000,2700,400,Purchased Property and Services,"31,376","31,376","26,376","36,376","50,860"
2000,2700,500,Other Purchased Services,"187,392","181,649","171,485","103,470","95,165"
2000,2700,600,Supplies,"249,070","261,602","235,740","216,260","281,415"
2000,2700,700,Property,"404,074","387,500","364,000","369,000","418,100"
2000,2700,800,Other Objects,725,500,400,400,400
Totals,,,,"4,143,117","4,022,167","3,917,926","3,277,719","3,179,758"
2000,2800,,Support Services - Central,,,,,
2000,2800,100,Personnel Services - Salaries,"744,759","730,673","719,205","713,544","696,622"
2000,2800,200,Personnel Services - Employee Benefits,"559,661","580,210","545,645","497,813","414,829"
2000,2800,300,Purchased Professional and Technical Services,"162,350","164,460","126,673","137,973","79,250"
2000,2800,400,Purchased Property and Services,"379,486","417,095","153,406","176,606","33,600"
2000,2800,500,Other Purchased Services,"100,726","101,207","118,175","81,808","112,828"
2000,2800,600,Supplies,"431,335","431,483","423,066","485,850","389,950"
2000,2800,700,Property,"40,000","27,500","46,000","23,500","211,000"
2000,2800,800,Other Objects,"2,895","2,170","2,070","2,070","2,750"
Totals,,,,"2,421,212","2,454,798","2,134,240","2,119,164","1,940,829"
2000,2900,,Other Support Services,,,,,
2000,2900,100,Personnel Services - Salaries,"12,080","12,080","25,980","25,980","52,907"
2000,2900,200,Personnel Services - Employee Benefits,"8,539","608,297","654,539","610,014","675,868"
2000,2900,300,Purchased Professional and Technical Services,0,0,0,0,"68,000"
2000,2900,500,Other Purchased Services,"34,052","34,690","35,369","36,407","36,407"
2000,2900,600,Supplies,0,0,0,0,50
Totals,,,,"54,671","645,067","715,888","672,401","833,232"
Totals 1000,,,,"24,022,580","23,787,643","23,210,880","22,913,084","22,022,773"
3000,,,Operation of Non-Instructional Services,,,,,
3000,3200,,Student Activities,,,,,
3000,3200,100,Personnel Services - Salaries,"806,846","868,583","853,292","872,836","874,808"
3000,3200,200,Personnel Services - Employee Benefits,"369,365","405,695","391,613","356,431","365,659"
3000,3200,300,Purchased Professional and Technical Services,"94,600","95,300","87,500","75,550","75,550"
3000,3200,400,Purchased Property and Services,"24,000","22,000","25,000","26,450","28,250"
3000,3200,500,Other Purchased Services,"29,450","27,200","28,950","29,498","29,750"
3000,3200,600,Supplies,"105,800","105,000","98,850","85,670","90,200"
3000,3200,800,Other Objects,"20,450","23,500","20,150","25,300","25,800"
Totals,,,,"1,450,511","1,547,278","1,505,355","1,471,735","1,490,017"
3000,3300,,Community Services,,,,,
3000,3300,100,Personnel Services - Salaries,"20,800","20,800","21,000","29,500","28,100"
3000,3300,200,Personnel Services - Employee Benefits,"9,063","8,974","8,960","11,486","11,305"
3000,3300,300,Purchased Professional and Technical Services,"144,800","136,640","142,450","140,800","142,000"
3000,3300,400,Purchased Property and Services,"4,400","4,500","4,500",,
3000,3300,600,Supplies,"14,800","13,140","12,600","5,300","4,900"
Totals,,,,"193,863","184,054","189,510","187,086","186,305"
Totals 3000,,,,"1,644,374","1,731,332","1,694,865","1,658,821","1,676,322"
5000,,,Other Expenditures and Financing Uses,,,,,
5000,5100,,Debt Service / Other Expenditures and Financing Uses,,,,,
5000,5100,800,Other Objects,"2,955,149","2,994,117","3,205,671","3,230,280","1,534,593"
5000,5100,900,Other Uses of Funds,"4,395,981","4,350,702","4,164,880","4,155,597","5,074,151"
Totals,,,,"7,351,130","7,344,819","7,370,551","7,385,877","6,608,744"
5000,5200,,Interfund Transfers - Out,,,,,
5000,5200,900,Other Uses of Funds,0,0,"25,749",0,0
Totals,,,,0,0,"25,749",0,0
5000,5300,,Transfers Out to Component Unites/Primary Governments,,,,,
5000,5300,900,Other Uses of Funds,"50,000","28,000",0,0,
Totals,,,,"50,000","28,000",0,0,0
5000,5900,,Budgetary Reserve,,,,,
5000,5900,800,Other Objects,0,0,0,"150,000","150,000"
Totals,,,,0,0,0,"150,000","150,000"
Totals 5000,,,,"7,401,130","7,372,819","7,396,300","7,535,877","6,758,744"
Totals - All,,,,"79,781,141","75,953,431","72,880,178","71,558,775","70,776,116"
