Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
Totals,,,,"1,044,719","995,933","938,836","936,242","864,059"
2000,2600,,Operation and Maintenance of Plant Services,,,,,
2000,2600,100,Personnel Services - Salaries,"1,837,204","1,782,778","1,729,258","1,705,317","1,636,313"
2000,2600,200,Personnel Services - Employee Benefits,"1,208,858","1,159,028","1,134,191","1,100,103","910,133"
2000,2600,300,Purchased Professional and Technical Services,"39,200","40,900","40,900","44,650","62,600"
2000,2600,400,Purchased Property and Services,"393,925","392,500","393,000","1,214,462","1,150,462"
2000,2600,500,Other Purchased Services,"306,780","306,780","306,780","299,900","264,630"
2000,2600,600,Supplies,"1,254,350","1,234,500","1,229,500","429,150","419,970"
2000,2600,700,Property,"10,000","10,000","10,000","10,000","42,000"
2000,2600,800,Other Objects,"1,500","1,500","1,500","3,000","3,000"
Totals,,,,"5,051,817","4,927,986","4,845,129","4,806,582","4,489,108"
2000,2700,,Student Transportation Services,,,,,
2000,2700,100,Personnel Services - Salaries,"1,984,789","1,618,101","1,581,080","1,530,194","1,467,276"
2000,2700,200,Personnel Services - Employee Benefits,"893,783","751,584","719,472","662,231","590,446"
2000,2700,300,Purchased Professional and Technical Services,0,200,800,800,300
2000,2700,400,Purchased Property and Services,"356,500","356,500","332,500","26,500","26,500"
2000,2700,500,Other Purchased Services,"182,740","172,740","78,390","76,390","73,050"
2000,2700,600,Supplies,"401,585","401,585","424,965","400,065","400,065"
2000,2700,700,Property,"2,020","2,020","2,010","307,000","307,000"
2000,2700,800,Other Objects,0,0,0,"2,010","2,000"
Totals,,,,"3,821,417","3,302,730","3,139,217","3,005,190","2,866,637"
2000,2800,,Support Services - Central,,,,,
2000,2800,100,Personnel Services - Salaries,"797,454","789,785","769,281","671,187","427,685"
2000,2800,200,Personnel Services - Employee Benefits,"554,705","519,200","453,074","364,729","273,022"
2000,2800,300,Purchased Professional and Technical Services,"279,150","267,200","255,410","204,055","139,430"
2000,2800,400,Purchased Property and Services,"65,130","65,130","65,130","65,000","64,500"
2000,2800,500,Other Purchased Services,"9,240","12,740","11,880","27,120","1,740"
2000,2800,600,Supplies,"156,100","167,700","165,665","165,865","166,450"
2000,2800,700,Property,"60,000","60,000","45,000","45,000","45,000"
2000,2800,800,Other Objects,"2,750","1,750",715,"2,900",400
Totals,,,,"1,924,529","1,883,505","1,766,155","1,545,856","1,118,227"
2000,2900,,Other Support Services,,,,,
2000,2900,100,Personnel Services - Salaries,0,0,0,0,0
2000,2900,200,Personnel Services - Employee Benefits,0,0,0,0,0
2000,2900,300,Purchased Professional and Technical Services,0,0,0,0,0
2000,2900,500,Other Purchased Services,"47,960","47,960","46,561","46,561","46,561"
2000,2900,600,Supplies,0,0,0,0,0
Totals,,,,"47,960","47,960","46,561","46,561","46,561"
Totals 1000,,,,"21,690,189","20,782,196","20,125,896","19,213,968","18,045,608"
3000,,,Operation of Non-Instructional Services,,,,,
3000,3200,,Student Activities,,,,,
3000,3200,100,Personnel Services - Salaries,"521,596","521,596","467,000","467,000","450,000"
3000,3200,200,Personnel Services - Employee Benefits,"219,933","218,709","193,432","181,786","157,456"
3000,3200,300,Purchased Professional and Technical Services,"137,617","143,721","143,052","135,710","124,770"
3000,3200,400,Purchased Property and Services,"10,800","12,000","10,800","13,000","13,300"
3000,3200,500,Other Purchased Services,"27,175","25,690","26,335","25,015","29,541"
3000,3200,600,Supplies,"93,218","88,874","86,298","80,906","85,530"
3000,3200,700,Property,0,0,0,"39,000","20,076"
3000,3200,800,Other Objects,"24,010","22,630","20,155","22,040",0
Totals,,,,"1,034,349","1,033,220","947,072","964,457","880,673"
3000,3300,,Community Services,,,,,
3000,3300,100,Personnel Services - Salaries,"70,380","70,000","67,000","67,000","70,550"
3000,3300,200,Personnel Services - Employee Benefits,"30,222","29,559","27,750","26,065","24,673"
3000,3300,300,Purchased Professional and Technical Services,"2,000","2,000","2,000","2,000","2,000"
3000,3300,400,Purchased Property and Services,"9,000","9,000","9,000","9,000","9,000"
3000,3300,500,Other Purchased Services,"92,000","92,000","92,000","92,000","92,000"
3000,3300,600,Supplies,"6,300","6,300","6,300","6,300","6,300"
Totals,,,,"209,902","208,859","204,050","202,365","204,523"
Totals 3000,,,,"1,244,251","1,242,079","1,151,122","1,166,822","1,085,196"
4000,,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,400,Purchased Property Services,0,0,0,"25,400",0
4000,4000,700,Property,0,0,0,"43,800",0
Totals,,,,0,0,0,"69,200",0
Totals 4000,,,,0,0,0,"69,200",0
5000,,,Other Expenditures and Financing Uses,,,,,
5000,5100,,Debt Service / Other Expenditures and Financing Uses,,,,,
5000,5100,800,Other Objects,"3,193,000","3,240,640","2,878,030","2,870,166","2,643,456"
5000,5100,900,Other Uses of Funds,"3,120,000","3,300,000","3,135,000","3,905,000","3,535,000"
Totals,,,,"6,313,000","6,540,640","6,013,030","6,775,166","6,178,456"
5000,5200,,Interfund Transfers - Out,,,,,
5000,5200,900,Other Uses of Funds,0,0,0,0,
Totals,,,,0,0,0,0,0
5000,5300,,Transfers Out to Component Unites/Primary Governments,,,,,
5000,5300,900,Other Uses of Funds,0,0,0,0,
Totals,,,,0,0,0,0,0
5000,5900,,Budgetary Reserve,,,,,
5000,5900,800,Other Objects,"400,000","400,000","400,000","400,000","500,000"
Totals,,,,"400,000","400,000","400,000","400,000","500,000"
Totals 5000,,,,"6,713,000","6,940,640","6,413,030","7,175,166","6,678,456"
Totals - All,,,,"64,625,119","63,428,323","61,209,817","59,793,002","56,819,445"
