Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
2000,2500,400,Purchased Property and Services,"236,500","216,500","216,500","216,500","216,500"
2000,2500,500,Other Purchased Services,"57,350","57,350","57,350","57,350","41,850"
2000,2500,600,Supplies,"71,000","71,000","71,000","71,000","71,000"
2000,2500,700,Property,0,0,0,0,0
2000,2500,800,Other Objects,"52,000","52,000","52,000","52,000","52,000"
Totals,,,,"1,359,660","1,301,039","1,289,297","1,257,787","1,283,565"
2000,2600,,Operation and Maintenance of Plant Services,,,,,
2000,2600,100,Personnel Services - Salaries,"1,424,668","1,402,593","1,398,247","1,367,704","1,314,574"
2000,2600,200,Personnel Services - Employee Benefits,"1,137,292","1,126,412","1,156,652","1,108,157","1,008,650"
2000,2600,300,Purchased Professional and Technical Services,"160,000","150,000","150,000","156,100","156,100"
2000,2600,400,Purchased Property and Services,"2,473,223","2,229,644","2,135,379","2,015,844","1,925,011"
2000,2600,500,Other Purchased Services,"541,500","493,500","530,900","482,900","407,900"
2000,2600,600,Supplies,"432,562","423,603","410,313","362,839","396,817"
2000,2600,700,Property,"126,000","125,000","82,000","50,000","95,000"
2000,2600,800,Other Objects,"5,500","5,500","6,500","6,500","6,500"
Totals,,,,"6,300,745","5,956,252","5,869,991","5,550,044","5,310,552"
2000,2700,,Student Transportation Services,,,,,
2000,2700,100,Personnel Services - Salaries,"2,302,869","2,276,053","2,204,250","2,071,385","2,017,367"
2000,2700,200,Personnel Services - Employee Benefits,"1,067,563","1,065,146","994,645","885,680","810,992"
2000,2700,300,Purchased Professional and Technical Services,"25,000","20,000","20,000","20,000","25,000"
2000,2700,400,Purchased Property and Services,"713,000","623,000","623,000","602,000","596,000"
2000,2700,500,Other Purchased Services,"482,000","432,000","432,000","382,000","357,000"
2000,2700,600,Supplies,"280,000","270,000","255,000","255,000","295,000"
2000,2700,700,Property,0,0,0,0,0
2000,2700,800,Other Objects,0,0,0,0,0
Totals,,,,"4,870,432","4,686,199","4,528,895","4,216,065","4,101,359"
2000,2800,,Support Services - Central,,,,,
2000,2800,100,Personnel Services - Salaries,"247,032","242,030","232,798","230,478","224,686"
2000,2800,200,Personnel Services - Employee Benefits,"163,162","164,064","159,929","140,264","139,656"
2000,2800,300,Purchased Professional and Technical Services,"45,000","45,000","35,000","35,000","25,000"
2000,2800,400,Purchased Property and Services,0,0,0,"24,000",0
2000,2800,500,Other Purchased Services,"22,000","22,000","24,000","35,400","24,000"
2000,2800,600,Supplies,"37,400","37,400","35,400",0,"40,200"
2000,2800,700,Property,500,500,500,500,0
2000,2800,800,Other Objects,"1,500","1,500","1,500","1,500","1,200"
Totals,,,,"516,594","512,494","489,127","467,142","454,742"
2000,2900,,Other Support Services,,,,,
2000,2900,100,Personnel Services - Salaries,0,0,0,0,0
2000,2900,200,Personnel Services - Employee Benefits,0,0,0,0,0
2000,2900,300,Purchased Professional and Technical Services,0,0,0,0,0
2000,2900,500,Other Purchased Services,"29,558","29,558","29,558","29,550","29,550"
2000,2900,600,Supplies,0,0,0,0,0
Totals,,,,"29,558","29,558","29,558","29,550","29,550"
Totals 1000,,,,"23,391,968","22,510,425","21,481,165","20,312,740","19,593,425"
3000,,,Operation of Non-Instructional Services,,,,,
3000,3200,,Student Activities,,,,,
3000,3200,100,Personnel Services - Salaries,"462,091","461,825","425,100","425,100","345,000"
3000,3200,200,Personnel Services - Employee Benefits,"206,973","203,214","184,016","174,330","115,541"
3000,3200,300,Purchased Professional and Technical Services,"168,000","168,000","168,000","155,000","122,000"
3000,3200,400,Purchased Property and Services,"12,000","12,000","12,000","12,000","12,000"
3000,3200,500,Other Purchased Services,"35,000","35,000","35,000","35,000","25,000"
3000,3200,600,Supplies,"48,000","48,000","48,000","48,000","48,000"
3000,3200,700,Property,0,0,0,0,0
3000,3200,800,Other Objects,"1,500","1,500","1,500","1,500","1,500"
Totals,,,,"933,564","929,539","873,616","850,930","669,041"
3000,3300,,Community Services,,,,,
3000,3300,100,Personnel Services - Salaries,0,0,0,0,0
3000,3300,200,Personnel Services - Employee Benefits,0,0,0,0,0
3000,3300,300,Purchased Professional and Technical Services,0,0,0,0,0
3000,3300,400,Purchased Property and Services,0,0,0,0,0
3000,3300,500,Other Purchased Services,"185,000","160,000","160,000","155,000","155,000"
3000,3300,600,Supplies,0,0,0,0,0
3000,3300,800,Other Objects,0,0,0,0,0
Totals,,,,"185,000","160,000","160,000","155,000","155,000"
Totals 3000,,,,"1,118,564","1,089,539","1,033,616","1,005,930","824,041"
4000,,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,400,Purchased Property Services,0,0,0,0,0
4000,4000,700,Property,0,0,0,0,0
Totals,,,,0,0,0,0,0
Totals 4000,,,,0,0,0,0,0
5000,,,Other Expenditures and Financing Uses,,,,,
5000,5100,,Debt Service / Other Expenditures and Financing Uses,,,,,
5000,5100,800,Other Objects,"3,650,940","3,666,573","3,666,573","3,631,573","3,554,615"
5000,5100,900,Other Uses of Funds,"2,752,365","2,702,226","2,702,226","2,698,401","2,662,640"
Totals,,,,"6,403,305","6,368,799","6,368,799","6,329,974","6,217,255"
5000,5200,,Interfund Transfers - Out,,,,,
5000,5200,900,Other Uses of Funds,,,,,
Totals,,,,0,0,0,0,0
5000,5300,,Transfers Out to Component Unites/Primary Governments,,,,,
5000,5300,900,Other Uses of Funds,0,0,0,0,0
Totals,,,,0,0,0,0,0
5000,5900,,Budgetary Reserve,,,,,
5000,5900,800,Other Objects,,,,,
Totals,,,,0,0,0,0,0
Totals 5000,,,,"6,403,305","6,368,799","6,368,799","6,329,974","6,217,255"
Totals - All,,,,"85,394,302","81,323,757","77,328,024","74,824,670","71,947,135"
