Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
Totals,,,,"1,043,087","865,368","869,920","819,490","736,892"
2000,2500,,Support Services - Business,,,,,
2000,2500,100,Personnel Services - Salaries,"369,337","421,590","253,506","431,564","407,024"
2000,2500,200,Personnel Services - Employee Benefits,"248,449","294,307","141,265","245,456","213,116"
2000,2500,300,Purchased Professional and Technical Services,"36,240","36,384",0,"42,558","47,678"
2000,2500,400,Purchased Property and Services,"6,190","5,542",0,"5,756","5,206"
2000,2500,500,Other Purchased Services,"7,025","6,392",180,"8,148","5,778"
2000,2500,600,Supplies,"5,900","4,725",0,"8,640","6,766"
2000,2500,700,Property,0,0,0,"2,500","2,500"
2000,2500,800,Other Objects,"6,437","7,130",0,"2,285","1,425"
Totals,,,,"679,578","776,070","394,951","746,907","689,493"
2000,2600,,Operation and Maintenance of Plant Services,,,,,
2000,2600,100,Personnel Services - Salaries,"1,806,521","1,749,025","1,775,567","1,871,197","1,855,484"
2000,2600,200,Personnel Services - Employee Benefits,"1,484,377","1,401,467","1,364,278","1,333,655","1,094,395"
2000,2600,300,Purchased Professional and Technical Services,0,"3,000","2,150","1,550","1,125"
2000,2600,400,Purchased Property and Services,"519,002","532,698","451,771","909,129","1,001,197"
2000,2600,500,Other Purchased Services,"141,035","128,492","122,272","120,693","121,346"
2000,2600,600,Supplies,"765,872","799,959","808,948","419,476","449,554"
2000,2600,700,Property,"56,838",0,"40,000","80,301","82,521"
2000,2600,800,Other Objects,651,426,226,416,281
Totals,,,,"4,774,296","4,615,067","4,565,212","4,736,417","4,605,903"
2000,2700,,Student Transportation Services,,,,,
2000,2700,100,Personnel Services - Salaries,"1,188,011","1,241,541","1,218,995","1,717,322","1,335,726"
2000,2700,200,Personnel Services - Employee Benefits,"544,483","567,557","549,721","680,557","430,279"
2000,2700,300,Purchased Professional and Technical Services,"21,429","24,575","24,486","12,100","3,500"
2000,2700,400,Purchased Property and Services,"367,000","350,600","318,849","418,500","430,500"
2000,2700,500,Other Purchased Services,"474,402","425,924","417,583","45,939","68,367"
2000,2700,600,Supplies,"126,544","92,535","59,737","142,650","196,800"
2000,2700,700,Property,0,0,0,"3,000",0
2000,2700,800,Other Objects,300,350,260,210,0
Totals,,,,"2,722,169","2,703,082","2,589,631","3,020,278","2,465,172"
2000,2800,,Support Services - Central,,,,,
2000,2800,100,Personnel Services - Salaries,"657,975","669,011","638,456","402,190","431,517"
2000,2800,200,Personnel Services - Employee Benefits,"432,730","421,147","397,090","239,981","261,108"
2000,2800,300,Purchased Professional and Technical Services,"97,288","70,271","68,472","65,932","66,910"
2000,2800,400,Purchased Property and Services,"113,507","131,787","131,307","141,403","142,236"
2000,2800,500,Other Purchased Services,"43,434","49,298","54,766","48,204","65,523"
2000,2800,600,Supplies,"432,020","313,008","317,493","360,643","387,354"
2000,2800,700,Property,0,0,0,0,0
2000,2800,800,Other Objects,"2,100",345,"5,600","6,875",0
Totals,,,,"1,779,054","1,654,867","1,613,184","1,265,228","1,354,648"
2000,2900,,Other Support Services,,,,,
2000,2900,100,Personnel Services - Salaries,0,0,0,0,0
2000,2900,200,Personnel Services - Employee Benefits,0,0,0,"197,008","265,160"
2000,2900,300,Purchased Professional and Technical Services,0,0,0,0,0
2000,2900,500,Other Purchased Services,"37,680","37,655","37,380","37,102","37,102"
2000,2900,600,Supplies,0,0,0,0,0
Totals,,,,"37,680","37,655","37,380","234,110","302,262"
Totals 1000,,,,"20,640,950","19,806,022","19,131,575","20,613,260","19,761,782"
3000,,,Operation of Non-Instructional Services,,,,,
3000,3200,,Student Activities,,,,,
3000,3200,100,Personnel Services - Salaries,"474,636","469,727","455,493","455,083","499,370"
3000,3200,200,Personnel Services - Employee Benefits,"150,064","146,936","185,748","140,200","145,041"
3000,3200,300,Purchased Professional and Technical Services,"113,790","111,790","115,990","113,427","109,750"
3000,3200,400,Purchased Property and Services,"7,955","8,000","15,675","15,500","15,800"
3000,3200,500,Other Purchased Services,"13,529","14,673","13,623","13,900","14,006"
3000,3200,600,Supplies,"52,638","46,435","36,328","31,725","29,500"
3000,3200,700,Property,"3,265",0,0,"10,000","11,000"
3000,3200,800,Other Objects,"14,923","13,575","12,942","15,077","16,750"
Totals,,,,"830,800","811,136","835,799","794,912","841,217"
3000,3300,,Community Services,,,,,
3000,3300,100,Personnel Services - Salaries,0,0,0,0,0
3000,3300,200,Personnel Services - Employee Benefits,0,0,0,0,0
3000,3300,300,Purchased Professional and Technical Services,"107,750","100,500","113,395","113,389","97,425"
3000,3300,400,Purchased Property and Services,0,0,0,0,0
3000,3300,500,Other Purchased Services,"1,230","1,230","1,230","1,230","1,230"
3000,3300,600,Supplies,"9,218","11,253","1,442","1,550","1,500"
Totals,,,,"118,198","112,983","116,067","116,169","100,155"
Totals 3000,,,,"948,998","924,119","951,866","911,081","941,372"
4000,,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,300,Purchased Professional and Technical Services,0,0,0,"50,000",0
4000,4000,400,Purchased Property Services,"43,000",0,0,"203,535","99,000"
4000,4000,700,Property,0,0,0,0,0
Totals,,,,"43,000",0,0,"253,535","99,000"
Totals 4000,,,,"43,000",0,0,"253,535","99,000"
5000,,,Other Expenditures and Financing Uses,,,,,
5000,5100,,Debt Service / Other Expenditures and Financing Uses,,,,,
5000,5100,800,Other Objects,"1,662,373","1,744,440","1,782,834","1,540,033","1,059,537"
5000,5100,900,Other Uses of Funds,"2,653,506","2,916,029","2,599,853","2,106,994","1,975,912"
Totals,,,,"4,315,879","4,660,469","4,382,687","3,647,027","3,035,449"
5000,5200,,Interfund Transfers - Out,,,,,
5000,5200,900,Other Uses of Funds,0,0,0,0,0
Totals,,,,0,0,0,0,0
5000,5300,,Transfers Out to Component Unites/Primary Governments,,,,,
5000,5300,900,Other Uses of Funds,0,0,0,0,0
Totals,,,,0,0,0,0,0
5000,5900,,Budgetary Reserve,,,,,
5000,5900,800,Other Objects,0,0,0,"75,000",0
Totals,,,,0,0,0,"75,000",0
Totals 5000,,,,"4,315,879","4,660,469","4,382,687","3,722,027","3,035,449"
Totals - All,,,,"69,769,310","67,815,989","65,767,821","65,729,542","62,643,122"
