Level 1,Level 2,Code,Description,FY19-20,FY18-19,FY17-18,FY16-17,FY15-16
2000,2500,600,Supplies,"32,000","32,000","32,000","34,500","34,000"
2000,2500,700,Property,0,0,0,0,0
2000,2500,800,Other Objects,"26,200","26,200","26,200","1,550","2,050"
Totals,,,,"1,189,171","1,144,392","1,109,001","1,042,971","1,025,267"
2000,2600,,Operation and Maintenance of Plant Services,,,,,
2000,2600,100,Personnel Services - Salaries,"3,025,092","2,971,433","2,897,662","2,772,518","2,872,730"
2000,2600,200,Personnel Services - Employee Benefits,"2,666,677","2,615,314","2,527,211","2,373,811","2,293,686"
2000,2600,300,Purchased Professional and Technical Services,"45,000","3,000","3,000","3,000","3,000"
2000,2600,400,Purchased Property and Services,"590,900","1,251,700","1,251,700","1,254,700","1,318,700"
2000,2600,500,Other Purchased Services,"538,000","508,000","408,000","408,000","490,000"
2000,2600,600,Supplies,"1,206,500","541,500","541,500","550,000","602,500"
2000,2600,700,Property,0,0,0,0,0
2000,2600,800,Other Objects,0,0,0,0,0
Totals,,,,"8,072,169","7,890,947","7,629,073","7,362,029","7,580,616"
2000,2700,,Student Transportation Services,,,,,
2000,2700,100,Personnel Services - Salaries,"1,839,764","1,768,201","1,714,371","1,722,539","1,752,989"
2000,2700,200,Personnel Services - Employee Benefits,"883,732","838,352","798,554","757,114","704,723"
2000,2700,300,Purchased Professional and Technical Services,"6,500","6,500","6,500","6,500","6,500"
2000,2700,400,Purchased Property and Services,"101,203","101,203","101,203","101,203","101,203"
2000,2700,500,Other Purchased Services,"41,250","41,250","141,250","141,750","143,750"
2000,2700,600,Supplies,"340,000","340,000","340,000","340,000","340,200"
2000,2700,700,Property,"478,500","478,500","478,500","478,500","478,500"
2000,2700,800,Other Objects,500,500,500,500,"1,500"
Totals,,,,"3,691,449","3,574,506","3,580,878","3,548,106","3,529,365"
2000,2800,,Support Services - Central,,,,,
2000,2800,100,Personnel Services - Salaries,"660,324","648,793","575,455","553,202","444,467"
2000,2800,200,Personnel Services - Employee Benefits,"468,091","473,210","433,609","407,866","351,347"
2000,2800,300,Purchased Professional and Technical Services,"210,000","210,000","202,392","212,992","80,600"
2000,2800,400,Purchased Property and Services,"1,601,544","1,601,544","1,601,544","1,085,544","1,155,461"
2000,2800,500,Other Purchased Services,"8,000","8,000","8,000","8,000","8,000"
2000,2800,600,Supplies,"129,600","129,600","129,600","86,600","88,000"
2000,2800,700,Property,0,0,0,0,"5,000"
2000,2800,800,Other Objects,300,300,300,"1,500","1,500"
Totals,,,,"3,077,859","3,071,447","2,950,900","2,355,704","2,134,375"
2000,2900,,Other Support Services,,,,,
2000,2900,100,Personnel Services - Salaries,0,0,0,0,0
2000,2900,200,Personnel Services - Employee Benefits,0,0,0,0,0
2000,2900,300,Purchased Professional and Technical Services,0,0,0,0,0
2000,2900,500,Other Purchased Services,"60,000","60,000","60,000","60,000","60,000"
2000,2900,600,Supplies,0,0,0,0,0
Totals,,,,"60,000","60,000","60,000","60,000","60,000"
Totals 1000,,,,"30,768,724","29,422,416","28,523,960","27,285,254","26,862,522"
3000,,,Operation of Non-Instructional Services,,,,,
3000,3200,,Student Activities,,,,,
3000,3200,100,Personnel Services - Salaries,"639,100","640,852","632,425","648,990","637,219"
3000,3200,200,Personnel Services - Employee Benefits,"268,621","263,842","265,890","245,586","214,451"
3000,3200,300,Purchased Professional and Technical Services,"40,000","40,000","33,000","33,000","33,000"
3000,3200,400,Purchased Property and Services,"10,000","10,000","10,000","10,000","10,000"
3000,3200,500,Other Purchased Services,"31,200","15,700","15,700","15,700","18,200"
3000,3200,600,Supplies,"81,000","77,000","84,000","80,600","60,900"
3000,3200,700,Property,0,0,0,0,"10,000"
3000,3200,800,Other Objects,"5,800","5,800","5,800","5,800","8,000"
Totals,,,,"1,075,721","1,053,194","1,046,815","1,039,676","991,770"
3000,3300,,Community Services,,,,,
3000,3300,100,Personnel Services - Salaries,"91,888","108,544","106,000","105,000","155,000"
3000,3300,200,Personnel Services - Employee Benefits,"7,479","8,304","8,109","11,858","11,858"
3000,3300,300,Purchased Professional and Technical Services,0,0,0,0,0
3000,3300,400,Purchased Property and Services,0,0,0,0,0
3000,3300,500,Other Purchased Services,0,0,0,0,"2,000"
3000,3300,600,Supplies,0,0,0,0,"1,500"
3000,3300,800,Other Objects,"3,950","4,450","4,450","4,450","4,450"
Totals,,,,"103,317","121,298","118,559","121,308","174,808"
Totals 3000,,,,"1,179,038","1,174,492","1,165,374","1,160,984","1,166,578"
4000,,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,,"Facilities Acquisition, Construction and improvement services",,,,,
4000,4000,400,Purchased Property Services,0,0,0,0,0
4000,4000,700,Property,0,0,0,0,0
Totals,,,,0,0,0,0,0
Totals 4000,,,,0,0,0,0,0
5000,,,Other Expenditures and Financing Uses,,,,,
5000,5100,,Debt Service / Other Expenditures and Financing Uses,,,,,
5000,5100,800,Other Objects,0,0,0,0,"2,000"
5000,5100,900,Other Uses of Funds,"4,934,701","5,506,532","5,660,671","6,201,369","6,305,590"
Totals,,,,"4,934,701","5,506,532","5,660,671","6,201,369","6,307,590"
5000,5200,,Interfund Transfers - Out,,,,,
5000,5200,900,Other Uses of Funds,"20,000","10,000","10,000","10,000","10,000"
Totals,,,,"20,000","10,000","10,000","10,000","10,000"
5000,5300,,Transfers Out to Component Unites/Primary Governments,,,,,
5000,5300,900,Other Uses of Funds,0,0,0,0,0
Totals,,,,0,0,0,0,0
5000,5900,,Budgetary Reserve,,,,,
5000,5900,800,Other Objects,0,"50,000","50,000","50,000","100,000"
Totals,,,,0,"50,000","50,000","50,000","100,000"
Totals 5000,,,,"4,954,701","5,566,532","5,720,671","6,261,369","6,417,590"
Totals - All,,,,"111,090,848","107,579,727","104,405,997","101,330,189","98,155,255"
